Page URL,Resource URL,Resource Type,Discovered
https://employmentequityact.co.za/,https://employmentequityact.co.za/assets/js/main.js,javascript,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/,https://employmentequityact.co.za/assets/css/main.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/,https://employmentequityact.co.za/assets/vendor/bootstrap-icons/bootstrap-icons.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/ee-benefits.html,https://employmentequityact.co.za/assets/js/main.js,javascript,30 Oct 2025 (06:57 UTC)
https://employmentequityact.co.za/ee-benefits.html,https://employmentequityact.co.za/assets/css/main.css,css,30 Oct 2025 (06:57 UTC)
https://employmentequityact.co.za/ee-benefits.html,https://employmentequityact.co.za/assets/vendor/bootstrap-icons/bootstrap-icons.css,css,30 Oct 2025 (06:57 UTC)
https://employmentequityact.co.za/growth-through-inclusion.html,https://employmentequityact.co.za/assets/vendor/bootstrap-icons/bootstrap-icons.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/growth-through-inclusion.html,https://employmentequityact.co.za/assets/css/main.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/growth-through-inclusion.html,https://employmentequityact.co.za/assets/js/main.js,javascript,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/index.html,https://employmentequityact.co.za/assets/js/main.js,javascript,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/index.html,https://employmentequityact.co.za/assets/css/main.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/index.html,https://employmentequityact.co.za/assets/vendor/bootstrap-icons/bootstrap-icons.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/legal-obligation.html,https://employmentequityact.co.za/assets/css/main.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/legal-obligation.html,https://employmentequityact.co.za/assets/js/main.js,javascript,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/legal-obligation.html,https://employmentequityact.co.za/assets/vendor/bootstrap-icons/bootstrap-icons.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/penalties.html,https://employmentequityact.co.za/assets/js/main.js,javascript,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/penalties.html,https://employmentequityact.co.za/assets/css/main.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/penalties.html,https://employmentequityact.co.za/assets/vendor/bootstrap-icons/bootstrap-icons.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/public-sector-eligibility.html,https://employmentequityact.co.za/assets/js/main.js,javascript,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/public-sector-eligibility.html,https://employmentequityact.co.za/assets/css/main.css,css,02 Oct 2025 (11:20 UTC)
https://employmentequityact.co.za/public-sector-eligibility.html,https://employmentequityact.co.za/assets/vendor/bootstrap-icons/bootstrap-icons.css,css,02 Oct 2025 (11:20 UTC)
